username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
SHARANIDS,11/17/16 2:05,0,0,Ambani & Adani knows the demonetization prior to its announcement. https:// twitter.com/ANI_news/statu s/799072995876618241 â€_,,,,7.99192E+17,https://twitter.com/SHARANIDS/status/799191664111689729
jibinr,11/17/16 2:05,0,0,Bank manager in Rohtak dies in office after spending three days at work via @htTweets http://www. hindustantimes.com/india-news/ban k-manager-in-rohtak-dies-in-office-after-spending-three-days-at-work/story-aaMsJOC53e9PkUm84LfnSO.html â€_ #Demonetization,,@htTweets,#Demonetization,7.99192E+17,https://twitter.com/jibinr/status/799191634101477377
NamoApp,11/17/16 2:04,22,28,NDA Govtâ€™s demonetization to repair internal economic issues,,,,,
Homer2bart,11/17/16 2:04,10,11,Who was that smart ass tweeting about how meticulous planning was behind this demonetization fiasco? Jan Dhan and all.,,,,7.99191E+17,https://twitter.com/Homer2bart/status/799191396011872256
yogeshd35,11/17/16 2:04,0,0,I Wholeheartedly support the Demonetization as I can foresee India to once again become a Swarna bird globally http:// fb.me/7pmfY2diM,,,,7.99191E+17,https://twitter.com/yogeshd35/status/799191355675316225
IM_Shobhit,11/17/16 2:03,0,0,They don't know any logic over demonetization . They can not debate on the locker rooms full of 500 n 1000 rupee... http:// fb.me/VDTRxm3J,,,,7.99191E+17,https://twitter.com/IM_Shobhit/status/799191326617169920
mehtasatya07,11/17/16 2:03,0,0,Demonetization : The Lies of Indian Media - Biggest Master Stroke of Narendra Modi,,,,,
ketan72,11/17/16 2:03,0,0,Big relief for farmers,,,,,
sardeepsingh,11/17/16 2:03,0,0,RT imsyedsuhail: Has Demonetization become a demon for narendramodi govt? Must watch #HTP on News18India at 8PM wiâ€_ https:// twitter.com/awasthis/statu s/799188261402918912 â€_,,,#HTP,7.99191E+17,https://twitter.com/sardeepsingh/status/799191210472734720
ReclaimBharat,11/17/16 2:03,4,2,And BJP claims people are supporting Govt's #demonetization plan! Are BJP guys living in another planet or taking ppl as fools! https:// twitter.com/bombaywallah/s tatus/799181054519062529 â€_,,,#demonetization,7.99191E+17,https://twitter.com/ReclaimBharat/status/799191144747962368
baba_followsyou,11/17/16 2:02,0,0,à__à¥‹à_—à¥‹ à_•à¥‹ à_œà_¬ à_ªà__à__ à__à__à__ à_•à¥€ à_•à¥‹à_‚à_—à¥çà_°à¥‡à_¸ à__à¥ƒà_¸à¥çà_Ÿà__à__à__à_° à_•à¥‡ à_–à_¿à__à__à_« à__à¥‡ #demonetization pic.twitter.com/YZq2dtX2Jj,,,#demonetization,7.99191E+17,https://twitter.com/baba_followsyou/status/799191047901483008
tyagi_bunty,11/17/16 2:02,0,0,Lt Governor Najeeb Jung also asks police 2 assist the elderly,,,,,
James_KSA,11/17/16 2:02,0,0,Strongly oppose this #Anti #Demonetization !! Already passed 9 days It will be financially disaster if reversed! https:// twitter.com/PadmajaJoshi/s tatus/799170565143601156 â€_,,,#Anti #Demonetization,7.99191E+17,https://twitter.com/James_KSA/status/799191022622412800
abbasmamu,11/17/16 2:02,0,2,Demonetization ,,,,,
chomals,11/17/16 2:02,0,0,#Demonetization & the effect on #Indian #Economy . The benefits outweigh the hardships,,,,,
bk_chudasama,11/17/16 2:02,0,0,Govtâ€™s #demonetization campaign nukes Pakistanâ€™s â€˜RBIâ€™,,,,,
HariNYT,11/17/16 2:02,12,9,Demonetization of 86% currency of $1.78 trillion economy is a serious business not an event management.,,,,7.99191E+17,https://twitter.com/HariNYT/status/799190894997999617
sksjournalist,11/17/16 2:02,0,0,RT imsyedsuhail: Has Demonetization become a demon for narendramodi govt? Must watch #HTP on News18India at 8PM wiâ€_ https:// twitter.com/awasthis/statu s/799188261402918912 â€_,,,#HTP,7.99191E+17,https://twitter.com/sksjournalist/status/799190886731186176
Drrajshekhar,11/17/16 2:02,1,1,Amazing to see the support of the Indian for Indian Prime Minister's move of demonetization . Black marketers & opposition leaders frustrated https:// twitter.com/timesofindia/s tatus/799179023125463040 â€_,,,,7.99191E+17,https://twitter.com/Drrajshekhar/status/799190849879801857
