username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AAP_Updates;2016-11-14 10:21;0;0;"MUST READ 10 Reasons Why BJP's Demonetization Is An Unmitigated & Politically Motivated disaster http://www. huffingtonpost.in/apoorva-pathak /10-reasons-why-bjps-demonetization-move-is-an-unmitigated-and/?utm_hp_ref=in-blog …";;;;"798229306245713920";https://twitter.com/AAP_Updates/status/798229306245713920
roh_style;2016-11-14 10:21;0;0;"Good to see that the demonetization move has declined instigated violence in Jammu & Kashmir...!! http:// timesofindia.indiatimes.com/india/Demoneti sation-has-led-to-decline-in-separatist-instigated-violence-in-the-Valley-MHA-sources/articleshow/55419257.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI …";;;;"798229263275139072";https://twitter.com/roh_style/status/798229263275139072
Jorebungley;2016-11-14 10:20;1;2;"@Rajeev4T is the person who exposed that #SonamGupta is Bewafaa... who knew back then, she would be responsible for demonetization hahaha https:// twitter.com/Rajeev4T/statu s/746262881809752064 …";;@Rajeev4T;#SonamGupta;"798229201753083905";https://twitter.com/Jorebungley/status/798229201753083905
dilon;2016-11-14 10:20;0;0;"P7 - #currency #demonetization still had to travel from Bbsr to Jharsuguda and than to my village Panchpara with zero cash.";;;#currency #demonetization;"798229180013953024";https://twitter.com/dilon/status/798229180013953024
freakonomyII;2016-11-14 10:20;0;0;"Can #modi promise to provide a timeline that RBI governor will be free to manage monetary policy once this demonetization spree ends? #noatm";;;#modi #noatm;"798229132979142656";https://twitter.com/freakonomyII/status/798229132979142656
Stupidosaur;2016-11-14 10:20;20;8;"Hrmkhr @narendramodi unleashed demonetization just AFTER a company servicing 40,000 ATMs lost its hardware & software license from US co!";;@narendramodi;;"798229115459338241";https://twitter.com/Stupidosaur/status/798229115459338241
sway_hi;2016-11-14 10:20;0;1;"You Will be Shocked to Know What Has Happened to Naxals and Maoists After Demonetization of Old Notes! http:// postcard.news/will-shocked-k now-happened-naxals-maoists-demonetization-old-notes/ …";;;;"798229086615150592";https://twitter.com/sway_hi/status/798229086615150592
PoornimaMepani;2016-11-14 10:20;0;0;"@HuffingtonPost ex-ruling party spokesman 2yrs ago.All asset prices flat 4 ovr 2 yrs.Means Blac money stashed in cash.Need 4 demonetization pic.twitter.com/9A0p76sqLf";;@HuffingtonPost;;"798229053207560193";https://twitter.com/PoornimaMepani/status/798229053207560193
palashbiswaskl;2016-11-14 10:19;0;0;"#Demonetization to herald more calamities!... http:// fb.me/5cu9q0Rtt";;;#Demonetization;"798228994667773956";https://twitter.com/palashbiswaskl/status/798228994667773956
narendra_modii;2016-11-14 10:19;0;0;"Demonetization : Petrol pump employees arrested for beating customers https:// goo.gl/fb/INdxB1 #news";;;#news;"798228983636750337";https://twitter.com/narendra_modii/status/798228983636750337
bhaumik09;2016-11-14 10:19;1;0;"My thoughts - Demonetization https:// lnkd.in/frxSZGY";;;;"798228954477891585";https://twitter.com/bhaumik09/status/798228954477891585
smarket;2016-11-14 10:19;63;47;"Demonetization can succeed..can fail too. God knows...but atleast support the Govt for doing something so daring than crib about small stuff";;;;"798228884642820096";https://twitter.com/smarket/status/798228884642820096
Pkswain1K;2016-11-14 10:19;3;1;"This indicates people's in govt knew about demonetization in advance @AAP4ODISHA https:// twitter.com/anshulindsamva d/status/798016880740954112 …";;@AAP4ODISHA;;"798228766531129345";https://twitter.com/Pkswain1K/status/798228766531129345
TheDoublePivots;2016-11-14 10:18;0;1;"This is why Modi's Demonetization would fail. Go on and read it guys. http://www. hindustantimes.com/india-news/cas h-has-only-6-share-in-black-money-seizures-reveals-income-tax-data/story-JfFuTiJYtxKwJQhz2ApxlL.html … @mittalrag @Bold_Monk @Gerrardicted";;@mittalrag @Bold_Monk @Gerrardicted;;"798228702840623105";https://twitter.com/TheDoublePivots/status/798228702840623105
vijaysardana;2016-11-14 10:18;0;1;"Is decision of demonetization shut the business of vote bank? | Part III https:// youtu.be/5AoTHAiJgkY via @YouTube";;@YouTube;;"798228694460338176";https://twitter.com/vijaysardana/status/798228694460338176
dilon;2016-11-14 10:18;0;0;"P6 - #currency #demonetization I have to travel to my village which is very remotely located. Tickets to Bhubaneswar was confirmed but I";;;#currency #demonetization;"798228675082625024";https://twitter.com/dilon/status/798228675082625024
palashbiswaskl;2016-11-14 10:18;0;0;"#Demonetization to herald fresh calamities!... http:// fb.me/7SgYfVZLB";;;#Demonetization;"798228670846537732";https://twitter.com/palashbiswaskl/status/798228670846537732
AficionadoYash;2016-11-14 10:18;0;0;"Demonetization : RBI announces new steps to decrease cash crunch";;;;"798228660834553856";https://twitter.com/AficionadoYash/status/798228660834553856
naveenkha;2016-11-14 10:17;0;0;"Very interesting read...seems contrarian but really insightful... Demonetization is a hollow move - https:// lnkd.in/f2tGgj7";;;;"798228442072289280";https://twitter.com/naveenkha/status/798228442072289280
Psoumyaranjan;2016-11-14 10:17;0;0;"Some who have left their relative,village ,poor parents and family for money now searching for them to save money. #Demonetization";;;#Demonetization;"798228412615819264";https://twitter.com/Psoumyaranjan/status/798228412615819264
AAPkSaath;2016-11-14 10:17;14;10;"Hey @RandeepHooda , pls retweet this tweet of India's Most Honest person who is sleeping peacefully after #Demonetization . https:// twitter.com/gautam_adani/s tatus/798036426164092932 …";;@RandeepHooda;#Demonetization;"798228380130766848";https://twitter.com/AAPkSaath/status/798228380130766848
tusharmakwana5;2016-11-14 10:17;0;1;"Do you support @PMOIndia demonetization plan? #IMwithModi";;@PMOIndia;#IMwithModi;"798228256923287552";https://twitter.com/tusharmakwana5/status/798228256923287552
Deepu513;2016-11-14 10:16;0;0;"Hello JP sir, I don't know how much black money is going to come out by demonetization move but i hope at present (1) @JP_LOKSATTA";;@JP_LOKSATTA;;"798228233598533632";https://twitter.com/Deepu513/status/798228233598533632
BlackWhite_;2016-11-14 10:16;0;0;"Delhi Govt calls emergency assembly session on demonetization http:// ow.ly/srLr506uwjB";;;;"798228230331363328";https://twitter.com/BlackWhite_/status/798228230331363328
PratikTripathy0;2016-11-14 10:15;0;1;"@narendramodi @Seems3r sir I am personally educating people who have a negative point of view on Demonetization . We are with you sir.";;@narendramodi @Seems3r;;"798227863820443648";https://twitter.com/PratikTripathy0/status/798227863820443648
